,src,dst,cap,
319,15,126,10240,
320,138,54,20480,
321,138,54,20480,
322,11,54,1024,
323,87,14,10240,
324,31,14,10240,
325,141,13,10240,
326,67,13,10240,
327,56,13,20480,
328,22,98,10240,
329,19,134,20480,
330,69,134,10240,
331,48,85,20480,
332,6,85,20480,
333,7,85,10240,
334,109,85,1024,
335,29,85,1024,
336,107,16,10240,
337,136,16,10240,
338,45,132,10240,
339,90,38,20480,
340,137,38,20480,
341,21,38,10240,
342,95,20,1024,
343,111,20,10240,
344,68,95,1024,
345,30,19,10240,
346,15,19,10240,
347,122,24,10240,
348,60,24,20480,
349,64,24,20480,
350,66,24,10240,
351,94,75,10240,
352,119,75,10240,
353,104,115,10240,
354,116,115,20480,
355,51,115,10240,
356,22,107,10240,
357,113,39,10240,
358,93,39,20480,
359,93,39,20480,
360,0,70,10240,
361,101,70,10240,
362,88,70,10240,
363,131,70,10240,
364,63,139,20480,
365,111,139,20480,
366,29,139,20480,
367,12,49,10240,
368,59,49,10240,
369,32,49,10240,
370,43,49,10240,
371,100,61,10240,
372,79,61,20480,
373,79,61,20480,
374,36,26,10240,
375,117,26,10240,
376,50,26,10240,
377,4,52,10240,
378,34,52,10240,
379,62,52,10240,
380,90,30,20480,
381,111,30,30720,
382,87,30,10240,
383,21,30,30720,
384,15,30,10240,
385,9,92,10240,
386,94,92,10240,
387,143,127,40960,
388,118,127,40960,
389,73,96,20480,
390,29,96,10240,
391,44,96,10240,
392,76,104,20480,
393,116,104,10240,
394,51,104,10240,
395,79,104,10240,
396,117,36,20480,
397,118,36,20480,
398,141,55,10240,
399,112,55,10240,
400,11,55,10240,
401,65,142,20480,
402,78,142,10240,
403,56,142,20480,
404,71,2,10240,
405,114,2,10240,
406,42,2,10240,
407,82,4,10240,
408,47,4,10240,
409,62,4,10240,
410,89,74,10240,
411,83,74,10240,
412,41,74,20480,
413,41,74,20480,
414,46,113,10240,
415,83,113,10240,
416,68,113,10240,
417,143,106,40960,
418,97,106,40960,
419,131,106,10240,
420,47,40,21504,
421,47,40,21504,
422,124,40,21504,
423,124,40,21504,
424,128,40,20480,
425,111,63,10240,
426,60,63,20480,
427,37,93,10240,
428,68,93,20480,
429,43,93,20480,
430,73,48,20480,
431,7,48,20480,
432,111,0,51200,
433,6,0,51200,
434,3,0,20480,
435,105,0,40960,
436,73,130,2048,
437,109,130,20480,
438,109,130,20480,
439,120,130,20480,
440,120,130,20480,
441,88,28,10240,
442,53,28,10240,
443,140,9,10240,
444,25,9,10240,
445,140,94,10240,
446,119,94,10240,
447,122,65,10240,
448,67,65,20480,
449,78,65,10240,
450,25,140,10240,
451,27,140,10240,
452,146,141,10240,
453,58,141,10240,
454,46,89,10240,
455,35,89,20480,
456,129,89,20480,
457,68,89,30720,
458,103,1,10240,
459,88,1,10240,
460,137,25,20480,
461,27,25,20480,
462,34,82,10240,
463,91,82,11264,
464,91,82,11264,
465,111,57,20480,
466,6,57,10240,
467,125,102,10240,
468,45,102,10240,
469,69,90,10240,
470,3,143,20480,
471,37,46,20480,
472,111,46,20480,
473,68,46,20480,
474,6,37,20480,
475,12,37,10240,
476,59,37,20480,
477,66,67,20480,
478,29,73,10240,
479,12,35,20480,
480,80,35,10240,
481,100,35,20480,
482,129,71,10240,
483,112,71,10240,
484,6,111,102400,
485,68,111,102400,
486,116,111,112640,
487,116,111,112640,
488,119,111,20480,
489,59,6,102400,
490,97,6,61440,
491,64,6,20480,
492,56,6,102400,
493,123,6,1024,
494,27,6,30720,
495,45,144,11264,
496,45,144,11264,
497,124,144,1024,
498,128,144,20480,
499,99,144,30720,
500,99,125,10240,
501,97,78,10240,
502,131,3,20480,
503,88,101,10240,
504,97,101,20480,
505,53,101,10240,
506,131,101,20480,
507,121,103,10240,
508,145,45,20480,
509,99,45,10240,
510,91,47,11264,
511,91,47,11264,
512,124,47,1024,
513,62,47,20480,
514,42,129,10240,
515,80,129,10240,
516,59,12,20480,
517,17,41,10240,
518,116,76,10240,
519,21,137,10240,
520,114,112,10240,
521,58,112,10240,
522,15,69,10240,
523,118,50,10240,
524,8,33,10240,
525,43,33,20480,
526,43,33,20480,
527,99,33,10240,
528,51,7,20480,
529,59,68,61440,
530,124,68,102400,
531,133,59,1024,
532,99,59,102400,
533,8,32,10240,
534,62,145,20480,
535,120,109,10240,
536,66,60,10240,
537,31,21,10240,
538,27,21,30720,
539,53,97,10240,
540,119,53,10240,
541,119,64,10240,
542,124,8,11264,
543,124,8,11264,
544,11,56,10240,
545,51,116,10240,
546,146,116,20480,
547,62,128,10240,
548,44,29,10240,
549,11,136,10240,
550,146,66,10240,
551,22,17,10240,
552,133,123,1024,
553,58,146,10240,
554,120,44,10240,
555,58,79,10240,
