 src dst cap bandwidth
218 144 45 11264 44.37704
219 144 124 1024 113.03064
220 144 128 20480 67.12834667
221 144 99 30720 76.60373333
222 125 99 10240 238.9908
223 78 97 10240 122.9390133
224 3 131 20480 21.31637333
225 101 88 10240 10.16682667
226 101 97 20480 60.16194667
227 101 53 10240 18.03469333
228 101 131 20480 6.91861333
229 103 121 10240 7.35224
230 45 145 20480 7.44237333
231 45 99 10240 22.26298667
232 47 91 11264 24.86738667
233 47 91 11264 24.86738667
234 47 124 1024 474.58712
235 47 62 20480 87.20536
236 129 42 10240 21.51408
237 129 80 10240 21.51408
238 12 59 20480 97.31605333
239 41 17 10240 176.7037333
240 76 116 10240 55.90928
241 137 21 10240 44.20941333
242 112 114 10240 6.63901333
243 112 58 10240 73.08458667
244 69 15 10240 4.0964
245 50 118 10240 3.63888
246 33 8 10240 39.69517333
247 33 43 20480 42.28064
248 33 43 20480 42.28064
249 33 99 10240 45.88714667
250 7 51 20480 189.72856
251 68 59 61440 614.0946933
252 68 124 102400 917.9614667
253 59 133 1024 917.9614667
254 59 99 102400 509.7636533
255 32 8 10240 29.38173333
256 145 62 20480 3.82858666
257 109 120 10240 41.48045333
258 60 66 10240 85.24466667
259 21 31 10240 24.6744
260 21 27 30720 113.84048
261 97 53 10240 168.6662667
262 53 119 10240 68.96792
263 64 119 10240 17.44616
264 8 124 11264 21.85114667
265 8 124 11264 21.85114667
266 56 11 10240 720.9525867
267 116 51 10240 21.81322667
268 116 146 20480 286.30384
269 128 62 10240 3.5112
270 29 44 10240 134.7264
271 136 11 10240 105.28176
272 66 146 10240 9.99621333
273 17 22 10240 60.36922667
274 123 133 1024 60.36922667
275 146 58 10240 112.3245067
276 44 120 10240 21.02626667
277 79 58 10240 83.46189333
278 98 18 10240 113.45064
279 16 18 10240 30.10802667
280 107 18 10240 100.7019467
281 55 18 10240 348.1700267
282 2 18 10240 111.8210667
283 136 18 10240 4.0964
284 110 10 10240 3.42608
285 132 10 10240 21.63901333
286 102 10 10240 61.87957333
287 127 81 20480 172.9410933
288 3 81 20480 492.3648533
289 50 81 20480 361.9713867
290 105 81 10240 4.01544
291 75 84 10240 184.38424
292 92 84 20480 337.65624
293 57 84 20480 22.30949333
294 111 84 20480 208.8219733
295 6 84 20480 52.91848
